,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
78,acoustic,On My Way,3U9FMzSjrXFS0AnElgcw0j,31,-4.412,83.853,231853,0.564,2,2.54e-06,0.0306,0.174,0.348
79,acoustic,Delicate,5mb6SzBnxv1ywFSH9V3uxd,53,-14.502,81.179,312067,0.144,5,0.00112,0.0419,0.147,0.34
80,acoustic,Let It Be Me,56AecW9Anb0CY6HpgWvcg9,59,-8.008,107.674,280227,0.283,0,0.0,0.027,0.33,0.614
81,acoustic,Hide and Seek,121so7t3AeX6nLMvxy9ZP9,54,-11.165,121.488,268867,0.179,9,0.0,0.0824,0.103,0.452
82,acoustic,Fast Car (feat. Kina Grannis),6UluzJStuOfZEQXTP3w6R9,1,-9.79,103.087,304293,0.255,10,0.0,0.0278,0.5,0.66
83,acoustic,Ängeln i rummet,1fSMZgXCGuwH2aweCAnsn8,40,-13.129,73.93,242067,0.32,4,0.0244,0.032,0.232,0.495
84,acoustic,Slow It Down,574GJ55EBM79W6n2V5bL5z,0,-14.42,142.436,307000,0.064,1,0.0,0.0374,0.108,0.428
85,acoustic,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,72,-16.67,74.993,280853,0.227,2,0.00469,0.0498,0.182,0.589
86,acoustic,Samson,2bbhyUWJ5VjdfI3P4PRLu2,51,-9.544,89.154,189507,0.193,11,9.74e-06,0.0421,0.184,0.49
87,acoustic,Better Together,2iXdwVdzA0KrI2Q0iZNJbX,75,-9.481,110.049,207680,0.346,5,9.24e-06,0.0522,0.659,0.871
88,acoustic,Need You Now (feat. Savannah Outen),0gIpqMM2OYR9tt0lrwSBJV,0,-7.421,111.996,225640,0.701,4,0.0,0.0794,0.436,0.632
89,acoustic,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,81,-8.74,138.265,295533,0.418,3,0.00195,0.0338,0.123,0.209
90,acoustic,U Smile,4vojpVoYaj4myAkIcfNKIN,1,-5.252,112.506,196907,0.605,1,1.56e-06,0.03,0.419,0.705
91,acoustic,Daughters,5FPnjikbwlDMULCCCa6ZCJ,68,-7.816,124.895,237907,0.413,2,1.91e-05,0.0274,0.503,0.674
92,acoustic,Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq,73,-9.864,116.068,526387,0.328,1,0.0,0.0461,0.11,0.526
93,acoustic,Bridge,2Jfc5rXVXutC6TIxVEhi5o,36,-7.924,90.429,150522,0.36,6,0.0407,0.0244,0.437,0.598
94,acoustic,The Fear,3Ai44VQ9zklXdczSHCUutu,1,-9.578,125.944,260360,0.575,11,0.0115,0.0336,0.457,0.604
95,acoustic,Killing Me Softly,5iR5GQnY5ds7mxizUUVyfl,0,-10.136,118.135,251400,0.291,7,0.00495,0.0294,0.357,0.668
96,acoustic,The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,70,-6.607,137.715,267653,0.563,4,0.0,0.0272,0.209,0.452
97,acoustic,Want U Back (feat. Hannah Trigwell),7cygym8cKOeftbNb12tJyv,0,-8.759,90.025,210142,0.307,7,0.0,0.0269,0.433,0.617
98,acoustic,The Blower's Daughter,7tdXvaCZmWZJOrZE9zFXpr,49,-13.983,133.198,288467,0.192,4,9.77e-05,0.0337,0.0775,0.334
99,acoustic,A Drop In The Ocean,5JDcQAztvZTIkrWoZihgvC,72,-8.65,73.139,220239,0.393,5,0.0,0.038,0.564,0.447
100,afrobeat,Mole,1L7EfY9OZnNSX24HMn7aI4,0,-12.019,126.483,345107,0.934,7,0.152,0.063,0.963,0.66
101,afrobeat,Il N'est Jamais Trop Tard,4ls2EezIHWWQDLubJzM88f,0,-13.573,83.783,271053,0.483,7,0.0623,0.0667,0.894,0.676
