Genre,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
country,50.01,-6.174939999999999,126.60487000000006,213840.12,0.6872399999999999,5.41,7.158309999999999e-05,0.03907199999999999,0.5523899999999999,0.5762199999999998
dance,27.0,-5.595927835051547,126.8487525773196,236357.57731958764,0.7727113402061859,4.824742268041237,0.14102037845360818,0.08747835051546396,0.4827938144329898,0.6716288659793814
dancehall,14.94949494949495,-5.617878787878787,117.31210101010099,199574.9898989899,0.733939393939394,5.181818181818182,0.004250227171717172,0.23262626262626263,0.7161414141414143,0.7211515151515149
death-metal,20.58,-6.374009999999998,118.82111999999998,239453.86,0.9386099999999993,5.5,0.43395122999999985,0.11631599999999997,0.264427,0.31391000000000013
deep-house,13.639175257731958,-8.796350515463919,120.574824742268,367359.8762886598,0.6028659793814433,5.742268041237113,0.5171657865979381,0.06336288659793815,0.4523680412371136,0.7890515463917526
detroit-techno,5.84375,-11.976562499999998,127.03228124999998,387337.1875,0.6525625,6.020833333333333,0.7104634270833333,0.07380208333333335,0.4499104166666667,0.7091875
disco,30.235955056179776,-7.008584269662921,119.60865168539321,242140.40449438203,0.7762247191011237,5.157303370786517,0.05624868966292135,0.06898202247191014,0.7457730337078651,0.6991910112359551
disney,34.64835164835165,-14.337120879120883,115.53948351648354,164232.75824175825,0.3607043956043957,4.461538461538462,0.21968996978021985,0.07329120879120879,0.37514395604395606,0.42080219780219774
drum-and-bass,10.48,-4.962039999999999,163.84907999999996,306230.79,0.8838000000000003,5.61,0.4000197046000001,0.07726399999999999,0.332763,0.48729000000000006
dub,19.810526315789474,-5.251600000000001,134.61905263157897,279605.8736842105,0.8198000000000002,6.052631578947368,0.21922356526315787,0.10117578947368418,0.3335852631578947,0.5636315789473684
dubstep,12.0,-5.040414634146341,135.8731829268293,288346.743902439,0.8448780487804878,5.073170731707317,0.21483937926829272,0.0951036585365854,0.27395853658536595,0.5495243902439024
edm,19.252747252747252,-5.28620879120879,126.65474725274726,264490.4505494505,0.7966923076923076,5.285714285714286,0.30187598901098905,0.08419780219780221,0.37820659340659357,0.6252307692307693
