,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
921,bossanova,Brisa do Mar,12YhHmx0qGK7iwsupo5mVc,0,-12.307,122.691,157173,0.32,7,0.00462,0.0451,0.609,0.798
922,bossanova,Samba de Uma Nota so,3qsL6Xk7GP1jxlbVneZvwR,0,-14.907,163.726,99120,0.271,9,0.0,0.0583,0.769,0.453
923,bossanova,Palhacada,1Qv9z6cpufktZbZk1zyM1r,0,-2.852,87.117,150000,0.82,5,0.0,0.0432,0.754,0.667
924,bossanova,Se Todos Fossem Iguais a Voce,4fn1OvbVNESLFyg0zIFfNJ,1,-6.492,95.589,215187,0.298,3,0.0,0.0281,0.387,0.343
925,bossanova,"A Bênção, Bahia!",4dqNkPgl9t0MNmE70tAuyr,16,-7.224,140.25,185093,0.782,5,5.23e-06,0.066,0.826,0.548
926,bossanova,Errinho à Toa,3s9B0pzI5G1KfA312KwJku,0,-12.134,97.912,194040,0.534,5,0.0672,0.0372,0.895,0.514
927,bossanova,Be-Bossa,77Q5fWGi5CoSX6mExZghUF,3,-10.424,102.671,121213,0.359,7,0.00731,0.089,0.722,0.678
928,bossanova,Terra de Ninguém / Gente,3yaXxBcIpMXwWQwfZ7DCYR,0,-14.191,104.416,275467,0.498,7,0.0041,0.0521,0.613,0.539
929,bossanova,Só Danço Samba / o Pato,17Whv73WwASHSrlI1mu3lc,0,-11.19,157.437,192240,0.595,0,0.000456,0.126,0.78,0.53
930,bossanova,Lollipops and Roses,3iVSDKctQavzutfAb0OZMs,1,-17.098,87.124,152084,0.389,5,0.00599,0.043,0.914,0.372
931,bossanova,Corcovado,1hT1WoYp4BRu4T1JJ9YYAy,0,-14.931,140.3,153627,0.153,5,0.00107,0.0411,0.296,0.51
932,bossanova,Sincopado Triste,6SR5demnCf0nScV6Z4ayDH,0,-6.229,156.787,142520,0.37,10,0.0,0.0491,0.64,0.482
933,bossanova,Vim de Santana,1E3QGzJ9MXTq2pxu1BZ1Gu,16,-6.969,110.181,171893,0.696,2,0.443,0.0307,0.591,0.468
934,bossanova,Canção de Amor - Versão Beta,23qOuUIGB4GKdeLuBWdojz,0,-15.553,85.639,114968,0.177,9,0.202,0.0716,0.24,0.501
935,bossanova,Pot-Pourri: Sereia / Rainha do Mar,6b4ZEmY1fWYXdaZCfKmFZv,36,-8.386,96.311,277333,0.474,9,0.0206,0.0356,0.248,0.574
936,bossanova,Beija Me,1CfcbFgejqm42cPGKlBFNl,4,-5.94,110.572,145320,0.539,7,0.0,0.0589,0.936,0.746
937,bossanova,Doce Menestrel,5DhPzSIi0HHZNJOOwIy3Xn,0,-17.65,102.174,346667,0.171,9,0.00102,0.0331,0.188,0.597
938,bossanova,Deixa pra Lá,47gC9HtUXLfcLqIF9wZsnN,0,-4.456,87.056,226733,0.808,9,3.48e-05,0.0762,0.822,0.736
939,bossanova,Vida à la Bossa,0zU3klN09JwiviAuf9bj9p,0,-8.626,138.995,190784,0.566,7,0.00194,0.034,0.689,0.724
940,bossanova,Ramblin' Rose,2UB4ZStA1cJYngeZb9gCrJ,2,-18.925,117.556,131213,0.287,0,0.602,0.0754,0.915,0.415
941,bossanova,Se e Tarde Me Perdoa,00atywJHIvpX8QqfSPL8XC,0,-20.633,65.1,105733,0.127,4,4.4e-05,0.042,0.57,0.452
