Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
acoustic,More Than Words,7z0JcZ8PQoAfUaLIXvbyTH,9,-14.201,91.354,335947,0.144,6,0.0,0.0298,0.255,0.621
acoustic,Video Games - Remastered,0fBSs3fRoh1yJcne77fdu9,69,-9.595,72.847,281960,0.249,6,1e-06,0.0348,0.181,0.236
acoustic,Cherry Blossoms,7paYa83IYmg2dvRu3NvcKL,43,-12.683,76.31,222947,0.188,2,0.11,0.0318,0.158,0.329
acoustic,Budapest,48gsLPdOUEDjr7P8Wvykne,53,-17.961,127.812,202120,0.247,5,0.0,0.0311,0.424,0.706
acoustic,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,76,-7.844,96.038,215360,0.511,9,1.34e-06,0.0362,0.542,0.739
acoustic,Home,5lxNrjf5UJhcsd8zx9AB1Y,0,-7.08,110.12,211107,0.628,0,0.0,0.0752,0.524,0.646
acoustic,Tears in Heaven,7utRJ4BeYx85khzP3lKoBX,62,-12.238,153.744,271760,0.242,9,0.536,0.0257,0.312,0.498
acoustic,Trololo Song,20p75WXHObYQcvc1ffp7ik,26,-6.799,97.417,163893,0.613,7,0.438,0.0392,0.636,0.359
acoustic,Comin' Home,0SwUDplbBp66rM5sMC0eD7,53,-5.828,122.923,305413,0.539,6,0.0,0.0309,0.392,0.654
acoustic,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",3B7udSGy2PfgoCniMSb523,74,-20.514,152.037,300840,0.0549,10,0.0,0.0397,0.234,0.581
acoustic,Daughters,5FPnjikbwlDMULCCCa6ZCJ,68,-7.816,124.895,237907,0.413,2,1.91e-05,0.0274,0.503,0.674
acoustic,Boyfriend,07dYGGSrzPeg6a3KZjWX65,2,-6.069,96.982,171333,0.535,10,0.0017,0.0641,0.276,0.719
acoustic,Where The Streets Have No Name - Unplugged,2Gy3tEwecEcO45QDNtiAti,0,-6.357,126.198,269667,0.708,0,0.000109,0.0464,0.0526,0.314
